Time,Node,Stock,Action,Demand,Delivery,Reward,Backlog
103,B,0.0,0.0,0.0,0.0,-1156.0,True
103,C,1140.0,15.0,0.0,15.0,-1156.0,False
104,A,1152.0,15.0,9.0,15.0,-8802.0,False
104,B,0.0,0.0,8.0,0.0,-8802.0,True
104,C,1146.0,15.0,9.0,15.0,-8802.0,False
105,A,1159.0,15.0,8.0,15.0,-11746.5,False
105,B,0.0,0.0,11.0,0.0,-11746.5,True
105,C,1148.0,15.0,13.0,15.0,-11746.5,False
106,A,1166.0,15.0,8.0,15.0,-8751.0,False
106,B,0.0,0.0,8.0,0.0,-8751.0,True
106,C,1150.0,15.0,13.0,15.0,-8751.0,False
107,A,1175.0,15.0,6.0,15.0,-919.5,False
107,B,0.0,0.0,0.0,0.0,-919.5,True
107,C,1158.0,15.0,7.0,15.0,-919.5,False
108,A,1190.0,15.0,0.0,15.0,-1194.5,False
108,B,0.0,0.0,0.0,0.0,-1194.5,True
108,C,1173.0,15.0,0.0,15.0,-1194.5,False
109,A,1205.0,15.0,0.0,15.0,-9209.5,False
109,B,0.0,0.0,8.0,0.0,-9209.5,True
109,C,1188.0,15.0,0.0,15.0,-9209.5,False
110,A,1205.0,15.0,15.0,15.0,-6917.0,False
110,B,0.0,0.0,6.0,0.0,-6917.0,True
110,C,1203.0,15.0,0.0,15.0,-6917.0,False
111,A,1209.0,15.0,11.0,15.0,-1006.5,False
111,B,0.0,0.0,0.0,0.0,-1006.5,True
111,C,1218.0,15.0,0.0,15.0,-1006.5,False
112,A,1218.0,15.0,6.0,15.0,-1036.5,False
112,B,0.0,0.0,0.0,0.0,-1036.5,True
112,C,1229.0,15.0,4.0,15.0,-1036.5,False
113,A,1233.0,15.0,0.0,15.0,-1251.5,False
113,B,0.0,0.0,0.0,0.0,-1251.5,True
113,C,1244.0,15.0,0.0,15.0,-1251.5,False
114,A,1248.0,15.0,0.0,15.0,-1164.0,False
114,B,0.0,0.0,0.0,0.0,-1164.0,True
114,C,1254.0,15.0,5.0,15.0,-1164.0,False
115,A,1255.0,15.0,8.0,15.0,-1115.0,False
115,B,0.0,0.0,0.0,0.0,-1115.0,True
115,C,1269.0,15.0,0.0,15.0,-1115.0,False
116,A,1270.0,15.0,0.0,15.0,-15290.0,False
116,B,0.0,0.0,14.0,0.0,-15290.0,True
116,C,1284.0,15.0,0.0,15.0,-15290.0,False
117,A,1285.0,15.0,0.0,15.0,-7305.0,False
117,B,0.0,0.0,6.0,0.0,-7305.0,True
117,C,1299.0,15.0,0.0,15.0,-7305.0,False
118,A,1300.0,15.0,0.0,15.0,-1094.5,False
118,B,0.0,0.0,0.0,0.0,-1094.5,True
118,C,1303.0,15.0,11.0,15.0,-1094.5,False
119,A,1315.0,15.0,0.0,15.0,-1329.5,False
119,B,0.0,0.0,0.0,0.0,-1329.5,True
119,C,1318.0,15.0,0.0,15.0,-1329.5,False
120,A,1330.0,15.0,0.0,15.0,-1344.5,False
120,B,0.0,0.0,0.0,0.0,-1344.5,True
120,C,1333.0,15.0,0.0,15.0,-1344.5,False
121,A,1333.0,15.0,12.0,15.0,-10990.5,False
121,B,0.0,0.0,10.0,0.0,-10990.5,True
121,C,1342.0,15.0,6.0,15.0,-10990.5,False
122,A,1348.0,15.0,0.0,15.0,-16365.5,False
122,B,0.0,0.0,15.0,0.0,-16365.5,True
122,C,1357.0,15.0,0.0,15.0,-16365.5,False
123,A,1363.0,15.0,0.0,15.0,-1196.0,False
123,B,0.0,0.0,0.0,0.0,-1196.0,True
123,C,1363.0,15.0,9.0,15.0,-1196.0,False
124,A,1378.0,15.0,0.0,15.0,-9124.5,False
124,B,0.0,0.0,8.0,0.0,-9124.5,True
124,C,1365.0,15.0,13.0,15.0,-9124.5,False
125,A,1393.0,15.0,0.0,15.0,-1256.0,False
125,B,0.0,0.0,0.0,0.0,-1256.0,True
125,C,1373.0,15.0,7.0,15.0,-1256.0,False
126,A,1408.0,15.0,0.0,15.0,-1288.0,False
126,B,0.0,0.0,0.0,0.0,-1288.0,True
126,C,1382.0,15.0,6.0,15.0,-1288.0,False
127,A,1415.0,15.0,8.0,15.0,-10074.5,False
127,B,0.0,0.0,9.0,0.0,-10074.5,True
127,C,1388.0,15.0,9.0,15.0,-10074.5,False
128,A,1430.0,15.0,0.0,15.0,-13183.5,False
128,B,0.0,0.0,12.0,0.0,-13183.5,True
128,C,1391.0,15.0,12.0,15.0,-13183.5,False
129,A,1445.0,15.0,0.0,15.0,-1438.5,False
129,B,0.0,0.0,0.0,0.0,-1438.5,True
129,C,1406.0,15.0,0.0,15.0,-1438.5,False
130,A,1460.0,15.0,0.0,15.0,-12228.0,False
